city,electoral_district,no,candidate,candidate_party,gender,age,homeplace,education_level,incumbent,elected
臺中市,第02選區,2,顏寬恒,中國國民黨,male,38,臺中市,碩士,True,True
臺中市,第02選區,3,鍾文龍,無黨籍及未經政黨推薦,male,34,臺中市,大學,False,False
臺中市,第02選區,4,紀國棟,無黨籍及未經政黨推薦,male,55,臺中市,碩士,False,False
臺中市,第03選區,1,楊瓊瓔,中國國民黨,female,51,臺中市,碩士,True,False
臺中市,第03選區,2,黃信吉,軍公教聯盟黨,male,59,臺南市,碩士,False,False
臺中市,第03選區,3,洪慈庸,時代力量,female,33,臺中市,大學,False,True
臺中市,第04選區,1,吳淑慧,民國黨,female,52,高雄市,碩士,False,False
臺中市,第04選區,2,張廖萬堅,民主進步黨,male,50,臺中市,碩士,False,True
臺中市,第04選區,3,蔡錦隆,中國國民黨,male,57,臺中市,碩士,True,False
臺中市,第04選區,4,葉春幸,信心希望聯盟,female,50,臺灣省,大學,False,False
臺中市,第04選區,5,顏惠莉,無黨籍及未經政黨推薦,female,54,臺中市,博士,False,False
臺中市,第04選區,6,游壽元,自由台灣黨,male,58,臺中市,專科,False,False
臺中市,第05選區,1,簡孟軒,信心希望聯盟,male,30,臺北市,大學,False,False
臺中市,第05選區,2,苗豐隆,無黨籍及未經政黨推薦,male,53,臺灣省,大學,False,False
臺中市,第05選區,3,盧秀燕,中國國民黨,female,54,臺灣省,碩士,True,True
臺中市,第05選區,4,劉國隆,台灣團結聯盟,male,56,臺中市,碩士,False,False
臺中市,第06選區,1,黃國書,民主進步黨,male,52,臺灣省,碩士,True,True
臺中市,第06選區,2,沈智慧,中國國民黨,female,58,臺中市,大學,False,False
臺中市,第06選區,3,賀姿華,無黨籍及未經政黨推薦,female,48,臺中市,其他,False,False
臺中市,第07選區,1,何欣純,民主進步黨,female,42,臺中市,碩士,True,True
臺中市,第07選區,2,賴義鍠,中國國民黨,male,48,臺灣省,碩士,False,False
臺中市,第07選區,3,石大哉,軍公教聯盟黨,male,45,臺南市,碩士,False,False
臺中市,第08選區,1,王政棋,無黨籍及未經政黨推薦,male,49,臺中市,專科,False,False
臺中市,第08選區,2,江啟臣,中國國民黨,male,43,臺中市,博士,True,True
臺中市,第08選區,3,謝志忠,民主進步黨,male,46,臺南市,碩士,False,False
臺南市,第01選區,1,黃瑞坤,中國國民黨,male,46,臺南市,碩士,False,False
臺南市,第01選區,2,陳柏志,中華統一促進黨,male,33,高雄市,高中,False,False
臺南市,第01選區,3,林德旺,無黨籍及未經政黨推薦,male,60,臺南市,高中,False,False
臺南市,第01選區,4,葉宜津,民主進步黨,female,55,臺南市,碩士,True,True
臺南市,第02選區,1,黃偉哲,民主進步黨,male,52,臺北市,碩士,True,True
臺南市,第02選區,2,黃耀盛,中國國民黨,male,41,臺南市,碩士,False,False
臺南市,第02選區,3,黃泯甄,中華統一促進黨,female,40,高雄市,大學,False,False
臺南市,第02選區,4,黃憲清,自由台灣黨,male,60,臺南市,大學,False,False
臺南市,第02選區,5,王國棟,無黨籍及未經政黨推薦,male,47,臺南市,高中,False,False
臺南市,第03選區,1,謝龍介,中國國民黨,male,54,臺南市,碩士,False,False
臺南市,第03選區,2,鄧秀寶,民國黨,female,55,桃園市,碩士,False,False
臺南市,第03選區,3,陳亭妃,民主進步黨,female,41,臺南市,碩士,True,True
臺南市,第03選區,4,翁琬甯,中華統一促進黨,female,50,臺南市,大學,False,False
臺南市,第04選區,1,林俊憲,民主進步黨,male,50,臺南市,碩士,False,True
臺南市,第04選區,2,傅建峰,中華統一促進黨,male,56,臺南市,大學,False,False
臺南市,第04選區,3,陳淑慧,中國國民黨,female,58,高雄市,碩士,True,False
臺南市,第04選區,4,陳皇州,大愛憲改聯盟,male,51,臺南市,碩士,False,False
臺南市,第04選區,5,楊智達,綠黨社會民主黨聯盟,male,24,臺南市,專科,False,False
臺南市,第04選區,6,蔡郁芝,時代力量,female,43,臺北市,大學,False,False
臺南市,第05選區,1,王定宇,民主進步黨,male,46,高雄市,碩士,False,True
臺南市,第05選區,2,晏揚清,台灣工黨,male,57,臺中市,博士,False,False
臺南市,第05選區,3,林易煌,中國國民黨,male,51,臺中市,大學,False,False
臺南市,第05選區,4,李盈蒔,中華統一促進黨,female,31,臺南市,高中,False,False
高雄市,第01選區,1,邱議瑩,民主進步黨,female,44,臺灣省,碩士,True,True
高雄市,第01選區,2,鍾易仲,中國國民黨,male,33,高雄市,碩士,False,False
高雄市,第01選區,3,劉子麟,中華統一促進黨,male,25,高雄市,其他,False,False
高雄市,第01選區,4,莊婷欣,和平鴿聯盟黨,female,31,高雄市,專科,False,False
高雄市,第02選區,1,邱志偉,民主進步黨,male,43,臺灣省,博士,True,True
